prec_no,block_no,name,kind,pref_name,total_hot_days,mean_hot_days,max_hot_days,years_with_data,coverage,name_norm,amedas_code,kjName,knName,lat,lon,alt
36,0303,田島,a,福島県,1.0,0.1,1.0,10,1.0,田島,36641,田島,タジマ,37.20666666666666,139.795,544
19,1195,榊町,a,釧路地方,1.0,0.1,1.0,10,1.0,榊町,19311,榊町,サカキマチ,43.12,145.11,2
15,0049,夕張,a,空知地方,1.0,0.1,1.0,10,1.0,夕張,15442,夕張,ユウバリ,43.038333333333334,141.95666666666668,293
87,0868,青島,a,宮崎県,1.0,0.5,1.0,2,0.2,青島,,,,,,
12,1188,幾寅,a,上川地方,1.0,0.1,1.0,10,1.0,幾寅,12691,幾寅,イクトラ,43.16833333333334,142.56833333333333,350
48,47620,諏訪,s,長野県,1.0,0.1,1.0,10,1.0,諏訪,48491,諏訪,スワ,36.045,138.10833333333332,760
23,47430,函館,s,渡島地方,1.0,0.1,1.0,10,1.0,函館,23232,函館,ハコダテ,41.81666666666667,140.75333333333333,35
91,47940,名護,s,沖縄県,1.0,0.1,1.0,10,1.0,名護,91107,名護,ナゴ,26.593333333333334,127.965,6
91,47912,与那国島,s,沖縄県,1.0,0.1,1.0,10,1.0,与那国島,94017,与那国島,ヨナグニジマ,24.466666666666665,123.01,30
68,1473,西郷岬,a,島根県,1.0,0.1,1.0,10,1.0,西郷岬,68046,西郷岬,サイゴウミサキ：隠岐空港,36.178333333333335,133.32333333333332,80
12,0015,上川,a,上川地方,1.0,0.1,1.0,10,1.0,上川,12411,上川,カミカワ,43.846666666666664,142.75333333333333,324
24,1200,鶉,a,檜山地方,1.0,0.1,1.0,10,1.0,鶉,24201,鶉,ウズラ,41.93,140.31166666666667,53
69,1304,茶屋,a,鳥取県,1.0,0.1,1.0,10,1.0,茶屋,69271,茶屋,チャヤ,35.18666666666667,133.23,490
12,1185,志比内,a,上川地方,1.0,0.1,1.0,10,1.0,志比内,12512,志比内,シビナイ,43.64333333333333,142.58166666666668,310
31,47576,むつ,s,青森県,1.0,0.1,1.0,10,1.0,むつ,31111,むつ,ムツ,41.28333333333333,141.21,3
91,1515,粟国,a,沖縄県,1.0,0.2,1.0,5,0.5,粟国,91096,粟国,アグニ,26.591666666666665,127.23833333333333,14
91,1493,所野,a,沖縄県,1.0,0.1,1.0,10,1.0,所野,94011,所野,トコロノ：与那国空港,24.466666666666665,122.97833333333334,15
20,1214,大津,a,十勝地方,1.0,0.1,1.0,10,1.0,大津,20631,大津,オオツ,42.68666666666667,143.64666666666668,4
31,0162,野辺地,a,青森県,1.0,0.1,1.0,10,1.0,野辺地,31332,野辺地,ノヘジ,40.885,141.16,14
86,0840,高森,a,熊本県,1.0,0.1,1.0,10,1.0,高森,86161,高森,タカモリ,32.821666666666665,131.125,555
13,47406,留萌,s,留萌地方,1.0,0.1,1.0,10,1.0,留萌,13277,留萌,ルモイ,43.945,141.63166666666666,24
31,47574,深浦,s,青森県,1.0,0.1,1.0,10,1.0,深浦,31436,深浦,フカウラ,40.645,139.93166666666667,66
67,0671,道後山,a,広島県,0.0,,,0,0.0,道後山,67026,道後山,ドウゴヤマ,35.056666666666665,133.18833333333333,729
87,1608,都農,a,宮崎県,0.0,,,0,0.0,都農,87251,都農,ツノ,32.28333333333333,131.54166666666666,61
88,0877,紫尾山,a,鹿児島県,0.0,,,0,0.0,紫尾山,88101,紫尾山,シビサン,31.98,130.36666666666667,1060
66,1585,吉備中央,a,岡山県,0.0,,,0,0.0,吉備中央,66287,吉備中央,キビチュウオウ,34.81666666666667,133.705,340
87,1636,椎葉,a,宮崎県,0.0,,,0,0.0,椎葉,87157,椎葉,シイバ,32.475,131.10333333333332,517
87,1609,日之影,a,宮崎県,0.0,,,0,0.0,日之影,87086,日之影,ヒノカゲ,32.681666666666665,131.40666666666667,262
66,1584,富,a,岡山県,0.0,,,0,0.0,富,66112,富,トミ,35.178333333333335,133.805,480
86,1580,宇土,a,熊本県,0.0,,,0,0.0,宇土,86181,宇土,ウト,32.7,130.65666666666667,6
66,1371,恩原,a,岡山県,0.0,,,0,0.0,恩原,66056,恩原,オンバラ,35.3,133.98666666666668,734
88,0882,八重山,a,鹿児島県,0.0,,,0,0.0,八重山,88211,八重山,ヤエヤマ,31.746666666666666,130.43833333333333,533
87,1164,酒谷,a,宮崎県,0.0,,,0,0.0,酒谷,87461,酒谷,サカタニ,31.641666666666666,131.26666666666668,160
86,1581,一勝地,a,熊本県,0.0,,,0,0.0,一勝地,86461,一勝地,イッショウチ,32.245,130.645,120
87,1343,諸塚,a,宮崎県,0.0,,,0,0.0,諸塚,87127,諸塚,モロツカ,32.516666666666666,131.335,150
87,1432,北方,a,宮崎県,0.0,,,0,0.0,北方,87136,北方,キタカタ,32.56166666666667,131.525,30
86,1613,山都,a,熊本県,0.0,,,0,0.0,山都,86197,山都,ヤマト,32.711666666666666,130.95833333333334,574
87,0865,国富,a,宮崎県,0.0,,,0,0.0,国富,87371,国富,クニトミ,32.00666666666667,131.29666666666665,66
87,0864,野尻,a,宮崎県,0.0,,,0,0.0,野尻,87361,野尻,ノジリ,31.956666666666667,131.15666666666667,182
87,0862,えびの高原,a,宮崎県,0.0,,,0,0.0,えびの高原,87346,えびの高原,エビノコウゲン,31.945,130.84,1150
86,47821,阿蘇山,s,熊本県,0.0,0.0,0.0,2,0.2,阿蘇山,,,,,,
66,1618,旭西,a,岡山県,0.0,,,0,0.0,旭西,66237,旭西,アサヒニシ,34.961666666666666,133.81166666666667,230
68,0703,三隅,a,島根県,0.0,,,0,0.0,三隅,68421,三隅,ミスミ,34.795,131.94833333333332,9
88,0888,吉ケ別府,a,鹿児島県,0.0,,,0,0.0,吉ケ別府,88392,吉ケ別府,ヨシガベップ,31.458333333333332,130.86166666666668,89
91,1152,渡嘉敷,a,沖縄県,0.0,0.0,0.0,10,1.0,渡嘉敷,91181,渡嘉敷,トカシキ,26.21,127.36333333333333,220
91,47945,南大東（南大東島）,s,沖縄県,0.0,0.0,0.0,10,1.0,南大東,92011,南大東,ミナミダイトウ,25.828333333333333,131.22833333333332,15
91,47927,宮古島,s,沖縄県,0.0,0.0,0.0,10,1.0,宮古島,93041,宮古島,ミヤコジマ,24.793333333333333,125.27833333333334,39
91,1651,渡名喜,a,沖縄県,0.0,,,0,0.0,渡名喜,91151,渡名喜,トナキ,26.373333333333335,127.14166666666667,7
91,1586,国頭,a,沖縄県,0.0,,,0,0.0,国頭,91046,国頭,クニガミ,26.72833333333333,128.17833333333334,8
91,1518,旧東,a,沖縄県,0.0,0.0,0.0,10,1.0,旧東,92012,旧東,キュウトウ：南大東空港,25.846666666666668,131.26333333333332,48
91,1516,慶良間,a,沖縄県,0.0,0.0,0.0,5,0.5,慶良間,,,,,,
66,0660,赤磐,a,岡山県,0.0,,,0,0.0,赤磐,66251,赤磐,アカイワ,34.91833333333334,134.08166666666668,56
66,0661,陣山,a,岡山県,0.0,,,0,0.0,陣山,66276,陣山,ジンヤマ,34.82833333333333,133.52333333333334,529
91,1374,東,a,沖縄県,0.0,,,0,0.0,東,91081,東,ヒガシ,26.631666666666668,128.15333333333334,24
91,1373,本部,a,沖縄県,0.0,,,0,0.0,本部,91066,本部,モトブ,26.685,127.89833333333333,25
66,0665,佐屋,a,岡山県,0.0,,,0,0.0,佐屋,66381,佐屋,サヤ,34.685,133.445,390
91,1250,川平,a,沖縄県,0.0,,,0,0.0,川平,94036,川平,カビラ,24.466666666666665,124.14,7
66,0666,矢掛,a,岡山県,0.0,,,0,0.0,矢掛,66391,矢掛,ヤカゲ,34.61666666666667,133.61833333333334,18
91,1248,城辺,a,沖縄県,0.0,,,0,0.0,城辺,93051,城辺,グスクベ,24.743333333333332,125.41,55
91,0907,胡屋,a,沖縄県,0.0,,,0,0.0,胡屋,91161,胡屋,ゴヤ,26.326666666666668,127.80333333333333,105
88,0897,中種子,a,鹿児島県,0.0,0.0,0.0,10,1.0,中種子,88621,中種子,ナカタネ：種子島空港,30.605,130.99166666666667,234
91,0906,読谷,a,沖縄県,0.0,,,0,0.0,読谷,91121,読谷,ヨミタン,26.406666666666666,127.73333333333333,90
91,0901,奥,a,沖縄県,0.0,0.0,0.0,10,1.0,奥,91021,奥,オク,26.835,128.27166666666668,232
88,47942,沖永良部,s,鹿児島県,0.0,0.0,0.0,10,1.0,沖永良部,88971,沖永良部,オキノエラブ：沖永良部空港,27.431666666666665,128.705,27
88,1658,平島,a,鹿児島県,0.0,,,0,0.0,平島,88746,平島,タイラジマ,29.683333333333334,129.52833333333334,97
88,1655,小宝島,a,鹿児島県,0.0,,,0,0.0,小宝島,88776,小宝島,コダカラジマ,29.225,129.32833333333335,10
88,1654,諏訪之瀬島,a,鹿児島県,0.0,,,0,0.0,諏訪之瀬島,88756,諏訪之瀬島,スワノセジマ,29.61,129.705,111
88,1647,宝島,a,鹿児島県,0.0,,,0,0.0,宝島,88781,宝島,タカラジマ,29.151666666666667,129.20166666666665,33
86,1368,五木,a,熊本県,0.0,,,0,0.0,五木,86411,五木,イツキ,32.395,130.82666666666665,310
88,1277,与論島,a,鹿児島県,0.0,0.0,0.0,10,1.0,与論島,88986,与論島,ヨロンジマ：与論空港,27.043333333333333,128.40166666666667,14
