prec_no,block_no,name,kind,pref_name
33,47584,盛岡,s,岩手県
33,47585,宮古,s,岩手県
34,0241,栗駒山,a,宮城県
34,0242,気仙沼,a,宮城県
34,0243,川渡,a,宮城県
34,0244,築館,a,宮城県
34,0245,箕輪山,a,宮城県
34,0246,志津川,a,宮城県
34,0247,古川,a,宮城県
34,0248,大衡,a,宮城県
34,0249,鹿島台,a,宮城県
34,0251,新川,a,宮城県
34,0252,鷹巣山,a,宮城県
34,0254,川崎,a,宮城県
34,0255,不忘山,a,宮城県
34,0256,白石,a,宮城県
34,0257,亘理,a,宮城県
34,0985,雄勝,a,宮城県
34,1029,米山,a,宮城県
34,1030,塩釜,a,宮城県
34,1126,駒ノ湯,a,宮城県
34,1220,丸森,a,宮城県
34,1267,花山,a,宮城県
34,1290,江ノ島,a,宮城県
34,1298,筆甫,a,宮城県
34,1365,泉ケ岳,a,宮城県
34,1464,名取,a,宮城県
34,1526,鴬沢,a,宮城県
34,1561,加美,a,宮城県
34,1564,蔵王,a,宮城県
34,1597,栗駒深山,a,宮城県
34,1600,栗駒,a,宮城県
34,1626,女川,a,宮城県
34,1630,桃生,a,宮城県
34,1631,東松島,a,宮城県
34,1632,岩沼,a,宮城県
34,47590,仙台,s,宮城県
34,47592,石巻,s,宮城県
35,0258,鳥海山,a,山形県
35,0260,差首鍋,a,山形県
35,0261,太平山,a,山形県
35,0262,金山,a,山形県
35,0263,鶴岡,a,山形県
35,0264,狩川,a,山形県
35,0266,瀬見,a,山形県
35,0267,温海岳,a,山形県
35,0268,櫛引,a,山形県
35,0269,月山,a,山形県
35,0270,銀山,a,山形県
35,0271,楯岡,a,山形県
35,0272,左沢,a,山形県
35,0274,葉山,a,山形県
35,0275,長井,a,山形県
35,0276,蔵王山,a,山形県
35,0277,小国,a,山形県
35,0278,高峰,a,山形県
35,0279,米沢,a,山形県
35,0280,西吾妻山,a,山形県
35,0910,向町,a,山形県
35,1038,上草津,a,山形県
35,1039,尾花沢,a,山形県
35,1040,鼠ケ関,a,山形県
35,1103,山毛欅潰山,a,山形県
35,1125,肘折,a,山形県
35,1132,高畠,a,山形県
35,1169,落合,a,山形県
35,1291,飛島,a,山形県
35,1292,大井沢,a,山形県
35,1357,荒沢,a,山形県
35,1372,中津川,a,山形県
35,1428,白鷹山,a,山形県
35,1465,浜中,a,山形県
35,1488,東根,a,山形県
35,1539,村山,a,山形県
35,1562,上山中山,a,山形県
35,1664,酒田大沢,a,山形県
35,1678,上田沢,a,山形県
35,47520,新庄,s,山形県
35,47587,酒田,s,山形県
35,47588,山形,s,山形県
36,0281,梁川,a,福島県
36,0282,稲荷峠,a,福島県
36,0283,吾妻山,a,福島県
36,0285,相馬,a,福島県
36,0286,喜多方,a,福島県
36,0287,八木沢,a,福島県
36,0288,原町,a,福島県
36,0289,飯谷山,a,福島県
36,0290,猪苗代,a,福島県
36,0291,二本松,a,福島県
36,0292,白馬石山,a,福島県
36,0294,船引,a,福島県
36,0295,浪江,a,福島県
36,0296,浅草岳,a,福島県
36,0297,只見,a,福島県
36,0298,博士峠,a,福島県
36,0299,郡山,a,福島県
36,0300,富岡,a,福島県
36,0301,南郷,a,福島県
36,0302,駒止峠,a,福島県
36,0303,田島,a,福島県
36,0304,小野新町,a,福島県
36,0305,観音山,a,福島県
36,0307,石川,a,福島県
36,0308,山王峠,a,福島県
36,0309,大辷山,a,福島県
36,0310,平,a,福島県
36,0311,田代山,a,福島県
36,0312,東白川,a,福島県
36,1031,西会津,a,福島県
36,1034,広野,a,福島県
36,1044,金山,a,福島県
36,1116,鷲倉,a,福島県
36,1127,上遠野,a,福島県
36,1129,川内,a,福島県
36,1130,飯舘,a,福島県
36,1150,津島,a,福島県
36,1268,長沼,a,福島県
36,1269,舘岩,a,福島県
36,1274,川前,a,福島県
36,1282,桧原,a,福島県
36,1293,茂庭,a,福島県
36,1294,湯本,a,福島県
36,1295,桧枝岐,a,福島県
36,1359,吉尾峠,a,福島県
36,1364,六十里越,a,福島県
36,1386,湖南,a,福島県
36,1466,玉川,a,福島県
36,1607,山田,a,福島県
36,1633,新地,a,福島県
36,1634,古殿,a,福島県
36,47570,若松,s,福島県
36,47595,福島,s,福島県
36,47597,白河,s,福島県
36,47598,小名浜,s,福島県
40,0314,花園,a,茨城県
40,0315,北茨城,a,茨城県
40,0316,大子,a,茨城県
40,0317,神峰山,a,茨城県
40,0318,笠間,a,茨城県
40,0320,古河,a,茨城県
40,0321,愛宕山,a,茨城県
40,0322,下妻,a,茨城県
40,0323,坂東,a,茨城県
40,0324,土浦,a,茨城県
40,0325,鹿嶋,a,茨城県
40,0911,江戸崎,a,茨城県
40,1011,日立,a,茨城県
40,1012,柿岡,a,茨城県
40,1013,美野里,a,茨城県
40,1014,龍ケ崎,a,茨城県
40,1082,筑波山,a,茨城県
40,1170,中野,a,茨城県
40,1173,徳田,a,茨城県
40,1245,鉾田,a,茨城県
40,1331,常陸大宮,a,茨城県
40,1388,門井,a,茨城県
40,1421,大能,a,茨城県
40,1530,下館,a,茨城県
40,1635,高萩,a,茨城県
40,1661,常総,a,茨城県
40,47629,水戸,s,茨城県
40,47646,つくば（館野）,s,茨城県
41,0326,那須高原,a,栃木県
41,0327,黒田原,a,栃木県
41,0328,八方が原,a,栃木県
41,0329,黒磯,a,栃木県
41,0330,八溝山,a,栃木県
41,0331,大田原,a,栃木県
41,0333,方塞山,a,栃木県
41,0334,高根沢,a,栃木県
41,0335,鹿沼,a,栃木県
41,0337,葛生,a,栃木県
41,0338,真岡,a,栃木県
41,0339,足利,a,栃木県
41,0340,栃木,a,栃木県
41,0341,小山,a,栃木県
41,1015,五十里,a,栃木県
41,1016,足尾,a,栃木県
41,1017,烏山,a,栃木県
41,1018,佐野,a,栃木県
41,1221,土呂部,a,栃木県
41,1333,今市,a,栃木県
41,1334,塩谷,a,栃木県
41,1605,那須烏山,a,栃木県
41,1675,日光東町,a,栃木県
41,47615,宇都宮,s,栃木県
41,47690,奥日光（日光）,s,栃木県
42,0342,前武尊,a,群馬県
42,0343,草津,a,群馬県
42,0344,野反湖,a,群馬県
42,0345,雨見山,a,群馬県
42,0346,沼田,a,群馬県
42,0347,赤城山,a,群馬県
42,0348,田代,a,群馬県
42,0349,榛名山,a,群馬県
42,0351,桐生,a,群馬県
42,0352,一の字山,a,群馬県
42,0353,上里見,a,群馬県
42,0354,西野牧,a,群馬県
42,0355,藤岡,a,群馬県
42,0356,館林,a,群馬県
42,0357,稲含山,a,群馬県
42,1019,みなかみ,a,群馬県
42,1020,中之条,a,群馬県
42,1021,伊勢崎,a,群馬県
42,1174,片品,a,群馬県
42,1222,藤原,a,群馬県
42,1223,神流,a,群馬県
42,1259,黒保根,a,群馬県
42,1375,高手山,a,群馬県
42,47624,前橋,s,群馬県
43,0359,久喜,a,埼玉県
43,0361,堂平,a,埼玉県
43,0362,飯能,a,埼玉県
43,0363,さいたま,a,埼玉県
43,0364,越谷,a,埼玉県
43,1000,三峰,a,埼玉県
43,1009,寄居,a,埼玉県
43,1069,鴻巣,a,埼玉県
43,1070,所沢,a,埼玉県
43,1159,浦山,a,埼玉県
43,1182,上吉田,a,埼玉県
43,1232,鳩山,a,埼玉県
43,1497,ときがわ,a,埼玉県
43,47626,熊谷,s,埼玉県
43,47641,秩父,s,埼玉県
44,0365,小河内,a,東京都
44,0366,八王子,a,東京都
44,0367,調布,a,東京都
44,0368,世田谷,a,東京都
44,0370,江戸川臨海,a,東京都
44,0371,羽田,a,東京都
44,1001,青梅,a,東京都
44,1002,練馬,a,東京都
44,1133,府中,a,東京都
44,1134,新島,a,東京都
44,1180,小沢,a,東京都
44,1467,大島北ノ山,a,東京都
44,1468,八重見ヶ原,a,東京都
44,1505,神津島,a,東京都
44,1506,三宅坪田,a,東京都
44,1509,三宅島阿古,a,東京都
44,1522,新島,a,東京都
44,1523,神津島,a,東京都
44,1525,三宅伊豆,a,東京都
44,1595,母島,a,東京都
44,1642,大島臨時,a,東京都
44,1643,大島泉津,a,東京都
44,1644,大島差木地,a,東京都
44,1646,利島,a,東京都
44,1648,青ヶ島,a,東京都
44,47662,東京,s,東京都
44,47675,大島,s,東京都
44,47677,三宅島,s,東京都
44,47678,八丈島,s,東京都
44,47971,父島,s,東京都
44,47991,南鳥島,s,東京都
45,0375,香取,a,千葉県
45,0376,我孫子,a,千葉県
45,0377,東庄,a,千葉県
45,0378,成田,a,千葉県
45,0381,茂原,a,千葉県
45,0382,木更津,a,千葉県
45,0383,鋸南,a,千葉県
45,0384,鴨川,a,千葉県
45,0916,佐倉,a,千葉県
45,1003,横芝光,a,千葉県
45,1004,大多喜,a,千葉県
