prec_no,block_no,name,kind,pref_name,year,hot_days,flag
12,1047,朝日,a,上川地方,2021,5.0,
12,1047,朝日,a,上川地方,2022,0.0,
12,1047,朝日,a,上川地方,2023,1.0,
12,1047,朝日,a,上川地方,2024,0.0,
12,1047,朝日,a,上川地方,2025,1.0,
12,1048,比布,a,上川地方,2016,0.0,
12,1048,比布,a,上川地方,2017,0.0,
12,1048,比布,a,上川地方,2018,0.0,
12,1048,比布,a,上川地方,2019,0.0,
12,1048,比布,a,上川地方,2020,0.0,
12,1048,比布,a,上川地方,2021,5.0,
12,1048,比布,a,上川地方,2022,0.0,
12,1048,比布,a,上川地方,2023,2.0,
12,1048,比布,a,上川地方,2024,1.0,
12,1048,比布,a,上川地方,2025,0.0,
12,1049,層雲峡,a,上川地方,2016,,///
12,1049,層雲峡,a,上川地方,2017,,///
12,1049,層雲峡,a,上川地方,2018,,///
12,1049,層雲峡,a,上川地方,2019,,///
12,1049,層雲峡,a,上川地方,2020,,///
12,1049,層雲峡,a,上川地方,2021,,///
12,1049,層雲峡,a,上川地方,2022,,///
12,1049,層雲峡,a,上川地方,2023,,///
12,1049,層雲峡,a,上川地方,2024,,///
12,1049,層雲峡,a,上川地方,2025,,///
12,1052,美瑛,a,上川地方,2016,0.0,
12,1052,美瑛,a,上川地方,2017,0.0,
12,1052,美瑛,a,上川地方,2018,0.0,
12,1052,美瑛,a,上川地方,2019,0.0,
12,1052,美瑛,a,上川地方,2020,0.0,
12,1052,美瑛,a,上川地方,2021,3.0,
12,1052,美瑛,a,上川地方,2022,0.0,
12,1052,美瑛,a,上川地方,2023,0.0,
12,1052,美瑛,a,上川地方,2024,0.0,
12,1052,美瑛,a,上川地方,2025,0.0,
12,1053,幌加内,a,上川地方,2016,0.0,
12,1053,幌加内,a,上川地方,2017,0.0,
12,1053,幌加内,a,上川地方,2018,0.0,
12,1053,幌加内,a,上川地方,2019,0.0,
12,1053,幌加内,a,上川地方,2020,0.0,
12,1053,幌加内,a,上川地方,2021,6.0,
12,1053,幌加内,a,上川地方,2022,0.0,
12,1053,幌加内,a,上川地方,2023,0.0,
12,1053,幌加内,a,上川地方,2024,0.0,
12,1053,幌加内,a,上川地方,2025,0.0,
12,1055,和寒,a,上川地方,2016,0.0,
12,1055,和寒,a,上川地方,2017,0.0,
12,1055,和寒,a,上川地方,2018,0.0,
12,1055,和寒,a,上川地方,2019,0.0,
12,1055,和寒,a,上川地方,2020,0.0,
12,1055,和寒,a,上川地方,2021,4.0,
12,1055,和寒,a,上川地方,2022,0.0,
12,1055,和寒,a,上川地方,2023,1.0,
12,1055,和寒,a,上川地方,2024,1.0,
12,1055,和寒,a,上川地方,2025,0.0,
12,1184,東川,a,上川地方,2016,0.0,
12,1184,東川,a,上川地方,2017,0.0,
12,1184,東川,a,上川地方,2018,1.0,
12,1184,東川,a,上川地方,2019,0.0,
12,1184,東川,a,上川地方,2020,0.0,
12,1184,東川,a,上川地方,2021,9.0,
12,1184,東川,a,上川地方,2022,0.0,
12,1184,東川,a,上川地方,2023,2.0,
12,1184,東川,a,上川地方,2024,2.0,
12,1184,東川,a,上川地方,2025,0.0,
12,1185,志比内,a,上川地方,2016,0.0,
12,1185,志比内,a,上川地方,2017,0.0,
12,1185,志比内,a,上川地方,2018,0.0,
12,1185,志比内,a,上川地方,2019,0.0,
12,1185,志比内,a,上川地方,2020,0.0,
12,1185,志比内,a,上川地方,2021,1.0,
12,1185,志比内,a,上川地方,2022,0.0,
12,1185,志比内,a,上川地方,2023,0.0,
12,1185,志比内,a,上川地方,2024,0.0,]
12,1185,志比内,a,上川地方,2025,0.0,
12,1188,幾寅,a,上川地方,2016,0.0,
12,1188,幾寅,a,上川地方,2017,0.0,
12,1188,幾寅,a,上川地方,2018,0.0,
12,1188,幾寅,a,上川地方,2019,0.0,
12,1188,幾寅,a,上川地方,2020,0.0,
12,1188,幾寅,a,上川地方,2021,0.0,
12,1188,幾寅,a,上川地方,2022,0.0,
12,1188,幾寅,a,上川地方,2023,0.0,
12,1188,幾寅,a,上川地方,2024,0.0,
12,1188,幾寅,a,上川地方,2025,1.0,
12,1189,占冠,a,上川地方,2016,0.0,
12,1189,占冠,a,上川地方,2017,0.0,
12,1189,占冠,a,上川地方,2018,0.0,
12,1189,占冠,a,上川地方,2019,0.0,
12,1189,占冠,a,上川地方,2020,0.0,
12,1189,占冠,a,上川地方,2021,0.0,
12,1189,占冠,a,上川地方,2022,0.0,
12,1189,占冠,a,上川地方,2023,0.0,
12,1189,占冠,a,上川地方,2024,0.0,
12,1189,占冠,a,上川地方,2025,0.0,
